1 0 10 -nan 0 -nan 0 100 0 -nan inf 0 -nan -nan 0 0 2.9998
2 0 10 -nan 0 -nan 0 112.236 0 -nan inf 0 -nan -nan 0 0 2.9998
3 0 10 -nan 0 -nan 0 112.236 0 -nan inf 0 -nan -nan 0 0 2.9998
4 0 10 0.00729 2.69984 1 0 112.236 0 0.555556 0.0265572 48.9146 0.00729 -nan 2.69984 0 2.9998
5 0 10 0.00665417 24.6232 0.805026 0 96.3719 0 0.506519 0.017839 56.6556 0.00667673 0.006561 19.8224 4.80088 2.9998
6 0 10 0.0062579 44.6394 0.727747 0 87.3757 0 0.708259 0.014505 55.9559 0.00616224 0.00651358 32.4862 12.1532 2.9998
7 0 10 0.00729 41.5715 0.680899 0.000574864 60.8946 0 0.78119 0.0199303 23.7701 0.00729 0.00729 28.306 13.2655 2.99972
8 0 10 0.00759337 12.1672 0.720905 0 50.7427 0 0.516653 0.0100488 33.2846 0.00729 0.00837696 8.77139 3.3958 2.9998
9 0 10 0.00769361 14.8504 0.493243 0 57.5275 0 0.515152 0.013075 26.1856 0.00993386 0.0055131 7.32488 7.52556 2.9998
10 0 10 0.0143695 16.2192 0.670962 0.00546608 51.1238 0 0.745007 0.0247547 12.9277 0.0143729 0.0143626 10.8825 5.33674 2.99426
11 2 10 0.0115783 8.18556 0.714796 0 44.2842 3.07228 0.423532 0.0063589 24.8008 0.0115783 0.0115783 5.85101 2.33455 2.9998
12 0 8 0.0078652 5.13756 0.763208 0 72.3053 0 0.447012 0.0040015 71.4019 0.00795087 0.00758911 3.92103 1.21653 2.9998
13 0 8 0.0111464 14.3347 0.89974 0 79.0789 0 0.43556 0.0039885 78.5231 0.0111976 0.0106864 12.8975 1.4372 2.9998
14 0 8 0.0100661 26.6182 0.889132 0 76.3877 0 0.594985 0.00440072 58.4216 0.0107475 0.00460138 23.6671 2.9511 2.9998
15 0 8 0.0103704 29.8231 0.723367 0 69.2996 0 0.590234 0.00446347 37.7493 0.00984259 0.0117506 21.573 8.25005 2.9998
16 0 8 0.00880025 20.3903 0.630282 0 57.7745 0 0.498617 0.00334095 34.1137 0.00995164 0.00683739 12.8517 7.53867 2.9998
17 0 8 0.00879919 22.231 0.657713 0 77.3546 0 0.496049 0.00473805 42.8762 0.00883775 0.00872509 14.6216 7.60938 2.9998
18 0 10 0.00795913 24.9904 0.651927 0 94.394 0 0.475536 0.00270869 95.3694 0.00868485 0.0065999 16.2919 8.69851 2.9998
19 0 10 0.00925609 25.4575 0.639417 0 77.3541 0 0.486676 0.00261699 68.3011 0.00970077 0.00846755 16.278 9.17957 2.9998
20 0 10 0.00795044 31.6437 0.618008 0 78.9209 0 0.519975 0.00272384 56.9423 0.00820449 0.00753943 19.5561 12.0876 2.9998
21 0 10 0.0122118 40.7805 0.594062 0 69.4865 0 -nan inf 0 0.0126712 0.0115397 24.2261 16.5543 2.9998
22 1 10 0.00200349 7.07565 0.29049 0.00687088 62.5388 0 0.345225 0.0074745 47.4435 0.00109419 0.00237579 2.0554 5.02025 2.98645
23 0 9 0.0134758 5.45709 0.0344414 0 64.8788 0 0.361626 0.00200516 58.487 0.0058301 0.0137485 0.18795 5.26914 2.9998
24 0 9 0.0118316 6.89596 0.12766 0 71.3903 0 0.392111 0.001831 64.4214 0.0131672 0.0116361 0.880336 6.01562 2.9998
25 0 9 0.0155757 7.40854 0.130071 0 74.6558 0 0.369147 0.00170413 65.6395 0.015317 0.0156144 0.963637 6.44491 2.9998
26 0 9 0.0178837 7.40535 0.113838 0 88.1133 0 0.379454 0.00143558 76.2603 0.00953653 0.018956 0.843014 6.56234 2.9998
27 0 9 0.0135276 7.51886 0.111032 0 99.035 0 0.370855 0.00124945 85.6877 0.0133944 0.0135442 0.834836 6.68402 2.9998
28 0 9 0.0119444 7.64428 0.113255 0 119.098 0 0.493226 0.00109634 113.157 0.00946735 0.0122608 0.865752 6.77853 2.9998
29 0 10 0.0100713 7.74736 0.112459 0 104.033 0 0.494097 0.0011291 101.47 0.00957944 0.0101336 0.871264 6.8761 2.9998
30 0 10 0.00557826 7.78982 0.110689 0 206.529 0 0.482675 0.000803481 191.225 0.0072198 0.00537394 0.862245 6.92758 2.9998
31 0 10 0.00965288 7.83328 0.110869 0 206.658 0 0.382283 0.000679144 209.762 0.00670651 0.0100203 0.868471 6.96481 2.9998
32 0 10 0.00856253 9.78797 0.281302 0 159.752 0 0.464585 0.000665069 169.347 0.00691792 0.00920623 2.75338 7.0346 2.9998
33 0 10 0.0100635 10.8969 0.371012 0 162.556 0 0.471409 0.000602294 170.991 0.0119399 0.00895671 4.0429 6.85405 2.9998
34 0 10 0.0166755 10.65 0.368978 0 130.702 0 0.437362 0.000578261 143.218 0.0160546 0.0170386 3.92962 6.72038 2.9998
35 0 10 0.00613636 25.1698 0.693806 0 124.333 0 0.43331 0.000519871 135.252 0.00531132 0.00800582 17.4629 7.70685 2.9998
36 0 10 0.0159724 44.6651 0.846485 0 107.477 0 0.45651 0.000511256 113.48 0.0160638 0.0154681 37.8084 6.85675 2.9998
37 0 10 0.0121412 52.9651 0.812701 0 164.446 0 0.469851 0.000395597 171.503 0.0119614 0.0129213 43.0448 9.92032 2.9998
38 0 10 0.0137503 79.3578 0.732876 0 166.941 0 0.457148 0.000398194 179.69 0.012779 0.0164151 58.1594 21.1984 2.9998
39 0 10 0.0107008 81.8756 0.76745 0 148.449 0 0.459249 0.000348573 163.476 0.0112332 0.00894398 62.8354 19.0402 2.9998
40 0 10 0.00937117 102.045 0.780029 0 226.28 0 0.4327 0.000285789 252.861 0.00875327 0.0115623 79.5984 22.4471 2.9998
41 0 10 0.0110645 144.437 0.741605 0 213.747 0 0.523867 0.000326282 214.058 0.0109908 0.0112762 107.115 37.3218 2.9998
