1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 0.0104454 11.7963 0.941912 0 93.4272 0 0.444444 0.0305077 192.354 0.00829602 0.045299 11.1111 0.685224 
3 0 10 0.0304901 32.2727 0.6193 0 93.4272 0 -nan inf 0 0.045299 0.0064 19.9865 12.2862 
4 0 10 0.0227413 61.0511 0.694081 0 93.4272 0 0.512128 0.0165325 59.4645 0.0207036 0.0273647 42.3744 18.6767 
5 0 10 0.0291478 65.2012 0.552135 0.00300386 85.4225 0 0.575501 0.00649709 196.501 0.0317313 0.0259627 35.9999 29.2014 
6 0 10 0.0476843 33.0428 0.308892 0.00466483 86.8298 0 0.539373 0.0272563 132.015 0.0443472 0.0491759 10.2067 22.8362 
7 0 10 0.0606909 45.5396 0.423658 0.0342717 71.5252 0 0.458165 0.0214334 14.5901 0.0547923 0.0650268 19.2932 26.2464 
8 0 10 0.0675857 21.7784 0.47949 3.84588e-05 80.123 0 0.574024 0.00269211 235.636 0.0426311 0.0905737 10.4425 11.3359 
9 0 10 0.0438599 26.4072 0.342617 0 78.9994 0 0.545817 0.00269029 116.034 0.0421009 0.0447767 9.04754 17.3596 
10 0 10 0.0255405 38.8034 0.505409 0.00924951 75.8067 0 0.558975 0.014321 88.4339 0.0265628 0.0244958 19.6115 19.1918 
11 2 10 0.0392591 30.3184 0.504427 0.00992509 45.196 5.4497 0.429645 0.0122357 27.0404 0.0491664 0.0291748 15.2934 15.025 
12 0 8 0.0452764 24.6487 0.654223 0 37.8827 0 0.597523 0.00346073 23.8381 0.0386996 0.0577198 16.1257 8.52295 
13 0 8 0.0350971 21.4011 0.543164 0 33.7209 0 0.52818 0.0029486 19.9 0.0435047 0.0251008 11.6243 9.77682 
14 0 8 0.0394219 19.5666 0.548773 0 35.9771 0 0.516928 0.00195388 24.4097 0.0415167 0.0368742 10.7376 8.82897 
15 0 8 0.0350148 21.3509 0.655091 0 38.8231 0 0.542592 0.00123842 31.1177 0.0367148 0.031786 13.9868 7.36412 
16 0 8 0.0326279 23.2711 0.728269 0 33.0705 0 0.539543 0.00146926 17.9735 0.0294965 0.0410203 16.9476 6.32349 
17 0 8 0.0341315 21.5111 0.716644 0 52.7864 0 0.513734 0.000669699 69.5235 0.0350513 0.031805 15.4158 6.0953 
18 0 10 0.0224973 25.4268 0.626295 0.00701494 50.8666 0 0.512191 0.00122052 49.6782 0.0227173 0.0221286 15.9247 9.50215 
19 0 10 0.0236251 22.5392 0.710012 0.0165683 50.2205 0 0.525444 0.0019661 44.9308 0.0248055 0.020735 16.0031 6.53608 
20 0 10 0.0236965 22.9384 0.646898 0 127.368 0 0.324565 0.000268518 209.102 0.0246886 0.021879 14.8388 8.0996 
21 0 10 0.0357795 41.1858 0.639804 0 146.341 0 0.339149 0.000184746 301.14 0.0363322 0.0347977 26.3508 14.835 
22 0 10 0.018667 63.5713 0.617302 0.0100823 146.046 0 0.271492 0.00627767 259.324 0.0151885 0.0242779 39.2427 24.3286 
23 0 10 0.037033 59.0914 0.647016 0.0438166 114.569 0 0.726276 0.0292259 302.784 0.0402563 0.0311246 38.2331 20.8583 
24 1 10 0.0222765 34.3834 0.505917 0.00182213 69.9986 4.19273 0.53521 0.331348 38.9919 0.0243348 0.0201689 17.3951 16.9882 
25 1 9 0.0216296 38.7689 0.507096 0 54.4768 1.00483 0.563978 0.000172879 24.9151 0.0151949 0.0282496 19.6595 19.1093 
26 0 8 0.023245 30.619 0.539512 0 48.8672 0 0.530823 0.00012526 26.4073 0.0227056 0.0238771 16.5193 14.0997 
27 0 8 0.0278543 32.0894 0.586555 0 43.0955 0 0.55085 0.000159141 15.3608 0.0224314 0.0355478 18.8222 13.2672 
28 0 8 0.0294416 28.4683 0.597074 0 77.7331 0 0.505086 5.54741e-05 53.487 0.0282042 0.0312753 16.9977 11.4706 
29 0 8 0.0326925 42.2826 0.619417 0 77.591 0 0.451464 4.56574e-05 63.3004 0.0324386 0.0331056 26.1906 16.092 
30 0 8 0.0183188 42.0208 0.59123 0 115.013 0 0.678688 1.18061e-05 140.398 0.0148523 0.0233326 24.8439 17.1768 
31 0 9 0.0197886 36.13 0.584005 9.5417e-06 126.708 0 0.60465 2.40962e-05 173.386 0.0210078 0.0180772 21.1001 15.0299 
32 0 10 0.0161488 44.947 0.634439 0 108.208 0 0.601764 1.57249e-05 147.369 0.0156168 0.0170723 28.5161 16.4309 
33 0 10 0.0271901 44.1984 0.6238 0.00318383 123.669 0 0.53971 0.000682069 210.324 0.0294753 0.023401 27.5709 16.6274 
34 0 10 0.0228736 47.7621 0.63886 0.0109019 86.9708 0 0.502884 0.00273345 118.472 0.0264623 0.0165252 30.5133 17.2488 
35 0 10 0.0375774 44.5953 0.626382 3.55812e-07 83.7055 0 0.414957 7.04165e-06 146.057 0.0348977 0.0420699 27.9337 16.6616 
36 0 10 0.0214728 51.5116 0.665837 0.0192938 57.1577 0 0.515785 0.0172472 83.7376 0.0246126 0.0152166 34.2983 17.2133 
37 0 10 0.0792563 51.325 0.433132 0.0187979 49.5471 0 0.368049 0.00475259 118.83 0.0297784 0.117061 22.2305 29.0945 
38 0 10 0.063408 50.0234 0.575167 0.00924316 47.6569 0 0.394529 0.00541189 115.513 0.0289773 0.110022 28.7718 21.2516 
39 3 10 0.0264757 22.4361 0.883087 0.0132612 24.9228 23.4844 0.904406 0.0164362 3.12603 0.0275014 0.0187278 19.813 2.62306 
40 2 7 0.0359958 2.68712 1 0.00144667 19.0052 0 0.749284 0.0190621 3.47942 0.0359958 -nan 2.68712 0 
41 1 5 0.0273583 1.82044 1 0 15.2949 0 0.763385 1.14255e-05 2.38126 0.0273583 -nan 1.82044 0 
42 0 4 0.0287768 2.08038 0.898992 0 15.4647 0 0.752415 9.18623e-06 2.35561 0.0309346 0.00957151 1.87024 0.210134 
43 0 4 0.0255699 2.25317 0.856039 0 15.8669 0 0.750219 7.20995e-06 2.41744 0.0282604 0.00957151 1.9288 0.324369 
44 0 4 0.0256178 2.32864 0.851079 0 15.6348 0 0.748451 5.88784e-06 2.35662 0.028413 0.00964336 1.98186 0.346783 
45 0 4 0.0250917 2.41941 0.840412 0 26.284 0 0.167463 1.86976e-06 11.2221 0.0280079 0.00973455 2.0333 0.386109 
46 0 5 0.0231593 2.50706 0.833746 0 71.1081 0 0.420783 7.42781e-07 55.8889 0.0254301 0.0117714 2.09025 0.416808 
47 0 9 0.0346268 8.22253 0.706759 0 81.0774 0 0.338344 8.92601e-07 60.841 0.0354925 0.0325403 5.81135 2.41118 
48 0 10 0.0302351 10.7985 0.554878 0 93.094 0 0.366267 7.46183e-07 71.4835 0.033575 0.0260716 5.99186 4.80665 
49 0 10 0.0283734 17.6945 0.64341 0 102.813 0 0.585144 3.75979e-07 155.55 0.0290804 0.0270976 11.3848 6.30968 
50 0 10 0.0319828 15.8829 0.590966 0.00649506 93.7118 0 0.650115 0.011346 171.972 0.0307416 0.0337761 9.38625 6.49665 
51 0 10 0.024794 38.6332 0.618181 0.00312244 132.276 0 0.548444 0.00384872 246.007 0.0225539 0.0284209 23.8823 14.7509 
52 0 10 0.0359136 81.581 0.744074 0 181.76 0 0.410103 1.69058e-07 362.092 0.0360999 0.0353719 60.7023 20.8787 
53 0 10 0.0154508 106.934 0.650412 0.000220222 214.778 0 0.450623 0.000483806 441.419 0.0134669 0.0191417 69.5509 37.3827 
54 0 10 0.023195 111.885 0.524038 0.0230102 170.048 0 0.475013 0.0178109 328.14 0.0212546 0.0253315 58.6319 53.2529 
55 0 10 0.0917751 187.011 0.551613 0 309.943 0 0.439402 9.03968e-08 473.193 0.0487711 0.144679 103.158 83.8535 
56 0 10 0.0320629 187.736 0.490345 0 240.57 0 0.494795 8.04922e-08 440.699 0.0309999 0.0330856 92.0552 95.6805 
57 0 10 0.0379637 242.353 0.550974 0.00571748 224.507 0 0.411769 0.00812022 527.674 0.0395021 0.036076 133.53 108.823 
58 0 10 0.0352001 249.936 0.54189 0 304.733 0 0.324841 4.98034e-08 682.971 0.0285312 0.0430886 135.438 114.498 
59 0 10 0.0343282 243.033 0.510273 0 478.138 0 0.39726 3.63806e-08 831.148 0.03233 0.0364102 124.013 119.02 
60 0 10 0.0153477 269.673 0.528881 0 477.18 0 0.358677 2.52673e-08 953.614 0.0129928 0.0179912 142.625 127.048 
61 0 10 0.0340861 276.18 0.523381 0 1233.94 0 0.399664 2.28744e-08 1563.81 0.0336276 0.0345895 144.547 131.633 
62 0 10 0.0325718 249.015 0.465792 0 953.975 0 0.398483 1.57895e-08 1665.85 0.0330984 0.0321125 115.989 133.026 
63 0 10 0.0121937 316.751 0.464408 0.0122086 721.357 0 0.396291 0.0192632 1606.25 0.00971946 0.0143391 147.102 169.649 
64 0 10 0.0385326 396.062 0.517413 0.00423786 731.566 0 0.38544 0.00600307 1685.19 0.0357546 0.0415111 204.928 191.134 
65 0 10 0.0260449 493.384 0.489181 0.0703805 475.39 0 0.433168 0.0661542 900.063 0.0204172 0.0314343 241.354 252.03 
66 0 10 0.100533 486.594 0.493782 0 636.52 0 0.44911 1.04671e-08 1424.77 0.0376563 0.161864 240.271 246.323 
67 0 10 0.0385087 501.131 0.4492 0.000358996 664.967 0 0.347772 0.000246555 1427.32 0.0356981 0.0408009 225.108 276.023 
68 0 10 0.0248843 472.042 0.424663 0.00861127 662.447 0 0.393797 0.0197986 1394.1 0.0250465 0.0247646 200.459 271.583 
69 0 10 0.0277104 438.23 0.423721 0 1762.36 0 0.380063 3.56516e-09 2236.77 0.0221542 0.0317956 185.687 252.543 
70 0 10 0.0310364 395.834 0.402116 0 1705.34 0 0.401815 3.99183e-09 2634.83 0.0365434 0.0273326 159.171 236.663 
71 0 10 0.0264585 394.124 0.4183 0.0150835 1250.91 0 0.386925 0.0438871 2581.18 0.0255434 0.0271165 164.862 229.262 
72 0 10 0.0430461 514.452 0.438688 0.0204638 1130.13 0 0.351346 0.035235 2743.45 0.0319629 0.0517081 225.684 288.768 
73 0 10 0.0465177 707.843 0.490059 0.00448858 1113.6 0 0.299548 0.00480879 2870.43 0.034569 0.0580005 346.885 360.958 
74 0 10 0.0434384 656.898 0.456937 0 1481.31 0 0.335693 1.71543e-09 2590.19 0.030031 0.0547194 300.161 356.737 
75 0 10 0.032302 703.602 0.43445 0.00333822 1474.44 0 0.386664 0.00789444 2766.29 0.0372291 0.028517 305.68 397.922 
76 0 10 0.0296895 908.409 0.433192 0.0380138 1199.17 0 0.356438 0.0551271 2609.54 0.0252899 0.033052 393.516 514.893 
77 0 10 0.0653852 876.083 0.378936 0 5559.93 0 0.253903 6.11415e-10 6997.7 0.0238775 0.0907108 331.98 544.104 
78 0 10 0.0367436 865.725 0.339464 0 5631.08 0 0.378412 5.95529e-10 7600.03 0.0470292 0.0314575 293.883 571.842 
79 0 10 0.0431887 733.705 0.389863 2.71455e-06 4558.14 0 0.404893 4.64613e-06 7746.63 0.0416098 0.0441975 286.044 447.661 
80 0 10 0.0197242 948.102 0.343555 0.0275994 2995.7 0 0.404332 0.0533562 5664.89 0.020598 0.0192669 325.725 622.377 
-1 10 560 0.0376961 14495.9 0.458031 0.0060373 42192.7 34.1316 0.379617 0.0126099 70431.7 0.0303259 0.0439249 6639.58 7856.33 
1 0 10 -nan 0 -nan 0.00696146 102.515 0 -nan inf 0 -nan -nan 0 0 
2 0 10 -nan 0 -nan 0 97.1307 0 -nan inf 0 -nan -nan 0 0 
3 0 10 0.0064 10.8527 1 0 97.1307 0 -nan inf 0 0.0064 -nan 10.8527 0 
4 0 10 0.00532295 40.3459 0.680877 0.00674231 97.1307 0 -nan inf 0 0.00523378 0.00551319 27.4706 12.8753 
