1 0 10 -nan 0 -nan 0.00713651 100 0 -nan inf 0 -nan -nan 0 0 
2 0 10 -nan 0 -nan 0 79.4486 0 0.444444 0.0793309 81.1202 -nan -nan 0 0 
3 0 10 0.0081 14.1226 1 0 79.4486 0 -nan inf 0 0.0081 -nan 14.1226 0 
4 0 10 0.00745796 42.0016 0.645099 0.00446057 79.4486 0 -nan inf 0 0.007486 0.00740698 27.0952 14.9064 
5 0 10 0.008885 58.3318 0.678635 0 118.133 0 -nan inf 0 0.00813204 0.0104751 39.586 18.7458 
6 0 10 0.027694 85.0386 0.401121 7.51179e-05 132.238 0 0.491359 0.0201394 106.382 0.0286196 0.027074 34.1108 50.9279 
7 0 10 0.0277317 67.8249 0.517984 0.0312624 95.6645 0 0.393939 0.225089 22.641 0.030426 0.0248365 35.1322 32.6927 
8 1 10 0.0335435 44.9261 0.321828 0.00758828 86.569 2.27644 0.611979 0.00667478 189.704 0.0200223 0.0399599 14.4585 30.4676 
9 0 9 0.0358117 30.5936 0.496986 0.000397308 89.654 0 0.417255 0.00591071 75.7737 0.0358117 0.0358117 15.2046 15.389 
10 0 9 0.0372644 22.2062 0.356232 0.0108814 68.3811 0 0.355016 0.00846333 21.3098 0.0344129 0.0388423 7.91056 14.2956 
11 0 9 0.0332156 0.345528 0 0 108.068 0 0.411641 0.00380311 121.244 -nan 0.0332156 0 0.345528 
12 0 9 0.0402064 1.68096 0.787618 0.00677888 107.448 0 0.39048 0.00370071 132.702 0.0422304 0.0327005 1.32395 0.357005 
13 0 9 0.0324354 0.737358 0.5 0 117.807 0 0.402805 0.0032999 143.153 0.0324354 0.0324354 0.368679 0.368679 
14 0 9 0.0321787 5.9993 0.0494317 0.00967087 124.437 0 0.531258 0.00445162 177.741 0.0321787 0.0321787 0.296555 5.70274 
15 0 10 0.0365942 22.289 0.122879 0.00195797 182.243 0 0.529765 0.0305228 232.699 0.0492503 0.0348211 2.73885 19.5502 
16 0 10 0.0682057 28.1133 0.284174 0.00219232 145.59 0 0.461188 0.0490502 206.498 0.0441537 0.0777541 7.98908 20.1242 
17 0 10 0.07172 53.7657 0.581476 0.00227218 143.813 0 0.409065 0.113162 208.883 0.050679 0.100953 31.2635 22.5022 
18 2 10 0.0372635 11.682 0.755447 0.0577869 87.932 35.0761 0.483484 0.00252761 99.9185 0.039788 0.0294653 8.82513 2.85687 
19 1 8 0.0386449 5.53828 0.466081 0.0287286 36.4897 1.27688 0.663959 0.0303038 16.6283 0.0425976 0.0351944 2.58129 2.95699 
20 0 7 0.0928877 2.68484 0.304537 0 63.7212 0 0.632257 0.00174039 49.3151 0.0397417 0.11616 0.817633 1.86721 
21 0 7 0.0474844 3.38034 0.330955 0 71.284 0 0.771448 0.0015517 60.6231 0.0488313 0.0468182 1.11874 2.2616 
22 0 7 0.047235 4.92193 0.375314 0 83.7117 0 0.668752 0.00144421 66.1555 0.0385224 0.0524695 1.84727 3.07466 
23 0 7 0.0387811 9.62845 0.441646 0 88.3772 0 0.714354 0.00123462 78.772 0.0335885 0.0428883 4.25237 5.37608 
24 0 7 0.034012 22.1973 0.694218 0 86.7245 0 0.686899 0.00170741 100.676 0.0268248 0.050329 15.4098 6.78752 
25 0 9 0.0383161 33.1721 0.56187 0 91.9102 0 0.568078 0.00179827 104.304 0.0406925 0.0352686 18.6384 14.5337 
26 0 10 0.0323894 41.4238 0.605046 0.00905852 77.0193 0 0.605272 0.0251992 106.381 0.0335179 0.0306607 25.0633 16.3605 
27 1 10 0.0364786 49.016 0.777446 0.0609029 37.683 2.14776 0.609283 0.0506319 39.4805 0.0366776 0.0357833 38.1073 10.9087 
28 3 9 0.0658402 9.92022 0.804958 3.1872e-05 27.9888 13.6011 0.592426 0.00126355 19.75 0.0326011 0.203022 7.98536 1.93486 
29 0 6 0.0218833 14.6009 0.837403 0.00268825 19.7613 0 -nan inf 0 0.0223311 0.0195773 12.2269 2.37406 
30 1 6 0.0408102 10.5037 0.770211 0 16.0112 2.59758 0.648312 0.0012621 7.46742 0.039615 0.0448162 8.09008 2.41364 
31 0 5 0.0302765 5.20445 0.768968 0 15.658 0 0.456935 0.00128994 5.08933 0.0328757 0.0216255 4.00205 1.20239 
32 0 5 0.0266202 5.63044 0.770094 0 14.4841 0 0.485766 0.00136937 3.92872 0.0322161 0.00787593 4.33597 1.29447 
33 0 5 0.040776 5.63723 0.673649 0 22.9989 0 0.363474 0.00153813 4.67336 0.051876 0.0178635 3.79751 1.83972 
34 0 6 0.0232115 7.25119 0.62931 0 52.6848 0 0.375 0.0116279 3.22481 0.022352 0.0246707 4.56325 2.68794 
35 0 9 0.0252886 3.95271 0.796038 0.00603052 59.17 0 0.378636 0.05574 40.739 0.0278675 0.0152235 3.14651 0.806202 
36 0 9 0.0312129 6.38022 0.524672 0.00616836 57.8478 0 0.499005 0.0108126 82.5881 0.0318357 0.0305254 3.34752 3.0327 
37 0 10 0.0367237 9.32905 0.652932 0.0219647 51.6214 0 0.627589 0.0155964 77.5449 0.0355243 0.0389801 6.09124 3.23781 
38 1 10 0.0223143 18.9697 0.775043 0.0152052 26.8294 1.15455 0.45602 0.183788 11.5988 0.0212435 0.0260033 14.7023 4.26737 
39 3 9 0.0311781 2.08486 0.00112842 0 26.5961 0.886322 0.239513 0.000239348 25.4061 0.0132885 0.0311983 0.00235261 2.08251 
40 0 6 0.0190136 3.53536 0.045342 0 25.4029 0 0.22893 0.000214181 21.7137 0.049457 0.0175676 0.1603 3.37506 
41 0 6 0.0195348 4.63911 0.0574403 0 27.5238 0 0.20671 0.00019027 25.0444 0.0366155 0.0184939 0.266472 4.37264 
42 0 6 0.0263044 5.10493 0.111924 0 36.119 0 0.191518 0.00017267 30.7229 0.0282052 0.0260648 0.571363 4.53356 
43 0 6 0.0259684 5.22815 0.0956191 0 33.1895 0 0.221114 0.000154015 30.9182 0.022546 0.0263302 0.499911 4.72824 
44 0 6 0.0106273 5.15135 0.0865327 0 36.3883 0 0.108926 0.000109735 46.2966 0.0206969 0.00967338 0.44576 4.70559 
45 0 7 0.0217434 7.68974 0.0868545 0.00621751 58.5928 0 0.543062 0.000659621 62.0502 0.0247603 0.0214564 0.667888 7.02185 
46 0 10 0.0313291 9.29119 0.332256 0.00641147 55.6543 0 0.568498 0.0252044 57.0404 0.0320451 0.0309728 3.08706 6.20413 
47 0 10 0.0360169 9.06633 0.345197 0.0337865 50.1143 0 0.536596 0.133782 53.1605 0.0352023 0.0364464 3.12966 5.93666 
48 0 10 0.0470175 11.687 0.34894 0 60.0417 0 0.492161 0.000177993 74.0943 0.0388343 0.0514033 4.07807 7.60897 
